date,amount,currency,account_name,message,vs
2026-07-28,-250.0,EUR,,"Odoslaná okamžitá platba, Vyroba rollup",VS: 20260280
2026-07-27,250.0,EUR,Magyar Szövetség - Maďarská aliancia,"Prijatá platba, Prevod z hlavneho uctu na uhrady nakladov",VS: 072026
2026-07-14,-27.59,EUR,,"Transakčná daň z prevodov, ",KS: 0558
2026-07-14,-359.16,EUR,,"Odoslaná okamžitá platba, Poskytnutie reklamnych sluzieb - billboardy",VS: 122690064
2026-07-14,500.0,EUR,Magyar Szövetség - Maďarská aliancia,"Prijatá platba, Prevod z hlavneho uctu na uhrady nakladov",VS: 072026
2026-06-30,-2.2,EUR,,"Za vedenie účtu, výpisy a transakcie, od 01.06.2026 do 30.06.2026, Za vedenie účtu/balíka služieb a výpisy: 2,00, Za transakcie: 0,20 , z toho:, 1 x debet - elektronicky: 0,20",
2026-06-30,-3.0,EUR,,"Poplatok platobné karty, Miesto: MC BUSINESS DEBETNA CL Suma: 3 EUR 29.06.2026","VS: 295000180
ŠS: 3400020725
KS: 6898"
2026-06-30,-3.0,EUR,,"Poplatok platobné karty, Miesto: VISA BUSINESS DEB. CL Suma: 3 EUR 29.06.2026","VS: 495000180
ŠS: 5032755813
KS: 6898"
2026-06-30,-0.02,EUR,,"Zaúčtovanie záporných úrokov, Istina: 0,02",
2026-06-15,-6888.0,EUR,,"Odoslaná okamžitá platba, Zaloha na kampan VUC",VS: 30260004
2026-06-15,7000.0,EUR,Magyar Szövetség - Maďarská aliancia,"Prijatá platba, Prevod z hlavneho uctu na uhrady nakladov",VS: 062025
2026-06-14,-26.89,EUR,,"Transakčná daň z prevodov, ",KS: 0558
2026-05-31,-2.2,EUR,,"Za vedenie účtu, výpisy a transakcie, od 01.05.2026 do 31.05.2026, Za vedenie účtu/balíka služieb a výpisy: 2,00, Za transakcie: 0,20 , z toho:, 1 x debet - elektronicky: 0,20",
2026-05-29,-3.0,EUR,,"Poplatok platobné karty, Miesto: VISA BUSINESS DEB. CL Suma: 3 EUR 28.05.2026","VS: 495000148
ŠS: 5032755813
KS: 6898"
2026-05-29,-3.0,EUR,,"Poplatok platobné karty, Miesto: MC BUSINESS DEBETNA CL Suma: 3 EUR 28.05.2026","VS: 295000148
ŠS: 3400020725
KS: 6898"
2026-05-27,-6715.8,EUR,,"Odoslaná okamžitá platba, Zaloha na kampan VUC",VS: 30260003
2026-05-27,6730.0,EUR,Magyar Szövetség - Maďarská aliancia,"Prijatá platba, Prevod z hlavneho uctu na uhrady nakladov",VS: 052026
2026-05-14,-0.03,EUR,,"Transakčná daň z prevodov, ",KS: 0558
2026-04-30,-2.0,EUR,,"Za vedenie účtu, výpisy a transakcie, od 01.04.2026 do 30.04.2026, Za vedenie účtu/balíka služieb a výpisy: 2,00, Za transakcie: 0,00",
2026-04-30,-3.0,EUR,,"Poplatok platobné karty, Miesto: VISA BUSINESS DEB. CL Suma: 3 EUR 29.04.2026","VS: 495000119
ŠS: 5032755813
KS: 6898"
2026-04-30,-3.0,EUR,,"Poplatok platobné karty, Miesto: MC BUSINESS DEBETNA CL Suma: 3 EUR 29.04.2026","VS: 295000119
ŠS: 3400020725
KS: 6898"
